No,Date,Time,Pond,Sample,Water temperature (oC),pH (-),DO saturation (%),DO (mg/L),Electrical conductivity (uS/cm),Total Dissolved Gas (mg/L),Salinity (PSU),Turbidity (NTU),Chlorophyll alpha (mg/L),BOD5 (mg/L),COD (mg/L),TN (mg/L),NH4+ (mg/L),NO2- (mg/L),NO3- (mg/L),TP (mg/L),PO43- (mg/L),Air temperature (oC),Wind (m/s),Rainfall (mm),Solar radiation (W/m2),Flux CO2 (mg.m-2.d-1),Flux CH4 (mg.m-2.d-1),Flux NO2 (mg.m-2.d-1),N2O Dissolved Gas (ug/L),CH4 Dissolved Gas (ug/L),CO2 Dissolved Gas (ug/L)
1,13/09/2018,10:24:00,Facultative Pond,1,20.1,8.43,491.2,32.92,490,318,0.23,118,375.7,39.935,105.24,20.96,12.7,0.012,0.277,2.952,1.91,19.2,0.9,0,852,5192.056407,9472.587555,-0.217739485,0.132873659,378.0889704,52991.96688
2,13/09/2018,12:26:00,Facultative Pond,2,21.8,8.1,313.9,33.58,525,343,0.24,94.3,1527.6,39.935,105.24,20.96,8.92,0.01,0.245,2.952,1.47,20.8,2.2,0,569,3897.297706,10953.80335,-0.268126244,0.245070687,322.6492164,61462.90487
3,13/09/2018,14:41:00,Facultative Pond,3,21.9,8.12,544.9,35.14,553,352,0.26,78.7,442.3,87.1,232,34.3,18.28,0.014,0.269,5.63,1.57,21.5,1.8,0,308,2571.754042,8376.608089,0.241625619,1.948902602,518.2274393,102760.0201
4,13/09/2018,16:41:00,Facultative Pond,4,22.1,8.15,249.9,16.13,562,361,0.36,82.9,370.2,78.7,70.3,37.1,18.85,0.012,0.23,4.55,1.56,18.8,2.7,0,67,3869.749285,8041.903741,0.086885237,0.63923253,333.9684595,58422.99016
5,13/09/2018,18:51:00,Facultative Pond,5,19.6,7.11,98.3,6.64,613,396,0.28,29.3,48.13,20.3,95.7,14.6,20.57,0.011,0.225,1.84,1.53,13.8,1.3,0,0,31108.30419,3041.705079,-0.152172169,1.180211288,409.2937367,59040.79389
6,13/09/2018,21:10:00,Facultative Pond,6,17,6.9,6.1,0.53,641,407,0.29,28.3,84.71,21.1,90.4,12.8,18.28,0.008,0.195,0.8,1.3,12,0.9,0,0,25565.3741,7317.621791,-0.182902041,0.307887623,666.3749831,61796.25014
7,13/09/2018,23:12:00,Facultative Pond,7,17.8,7.05,46.5,3.24,640,410,0.29,10.1,32.09,12.75,46.9,12.6,21.14,0.01,0.229,2.08,1.51,12.2,0.4,0,0,21071.51414,9007.25035,-0.110787118,0.424158115,44.86765837,60162.87137
8,13/09/2018,1:20:00,Facultative Pond,8,16.5,6.79,5.7,0.31,635,420,0.3,24.8,55.14,21.4,127,10.4,19.99,0.009,0.249,2.53,1.3,11.9,0,0,0,28836.19325,8995.235486,-0.275849912,1.380257982,499.149716,62424.26678
9,13/09/2018,3:22:00,Facultative Pond,9,15.8,6.85,2.3,0.1,641,414,0.29,24.7,61.09,22,55.8,12.2,21.7,0.007,0.219,2.58,1.38,11.1,0.4,0,0,25865.01528,11618.21517,-0.265869991,1.698050001,306.5752991,61998.97603
10,13/09/2018,5:09:00,Facultative Pond,10,16.3,6.78,0.4,0.01,621,386,0.29,29.4,218.5,30.1,91.3,22.4,3.12,0.006,0.163,2.89,1.31,10.6,0.4,0,0,20772.89471,7623.74834,-0.190461536,1.72375357,442.8987653,65288.76515
11,13/09/2018,6:37:00,Facultative Pond,11,16.3,6.72,10.7,0.68,622,394,0.28,41,108.9,62.8,143,24,18.9,0.045,0.286,3.2,1.92,10.8,0.4,0,9,25711.53158,4270.8646,0.237268231,19.06751381,380.5555997,70082.0317
12,13/09/2018,8:53:00,Facultative Pond,12,17.2,6.86,15.1,1.09,613,397,0.28,41.3,191.6,43.1,100,29.2,20.2,0.012,0.24,3.42,1.84,13.3,0.4,0,331,25137.14115,5931.862567,0.270200129,2.585956283,412.0899361,63384.02661
13,13/09/2018,11:25:00,Maturation Pond,1,21.5,7.68,217.2,14.3,543,342,0.24,14.4,13.65,12.8,113.5,19.6,11.6,0.009,0.241,2.465,1.48,19.8,2.2,0,746,2094.525531,844.6997756,-0.08113296,0.353850162,75.65353484,62834.34863
14,13/09/2018,13:30:00,Maturation Pond,2,20.7,8.29,403.3,27.32,514,338,0.25,45.2,343.9,7.8,79.5,13.55,19.5,0.009,0.249,1.945,2.33,21.2,2.7,0,494,2899.877741,3603.919932,-0.046046336,0.266210522,85.10976637,52682.69774
15,13/09/2018,15:36:00,Maturation Pond,3,20.8,7.88,491.5,32.84,532,341,0.24,19.6,155.9,21,138,22.2,19.42,0.01,0.258,2.54,2.99,21.9,0.9,0,334,1336.270725,2611.079337,-0.217697613,1.104121965,158.2405348,83095.30375
16,13/09/2018,17:41:00,Maturation Pond,4,18.8,7.78,206.8,14.31,597,386,0.27,12.3,68.75,13.3,77.5,16.3,19.99,0.009,0.232,2.1,2.77,15.1,1.3,1,14,10099.92542,2427.574502,-0.146171782,0.309212818,62.47172056,50068.75605
17,13/09/2018,19:52:00,Maturation Pond,5,18.5,7.16,96.4,6.69,594,385,0.28,10.8,35.13,11.8,70.5,17.8,20.57,0.01,0.604,2.2,1.64,13.2,0.4,0,0,14833.7716,2244.069666,-0.097182554,0.333098327,91.29867249,54581.91311
18,13/09/2018,22:09:00,Maturation Pond,6,18,7.11,69.2,4.86,613,393,0.28,6.9,29.43,11.82,55,10.55,22.28,0.011,0.232,1.97,2.95,12.1,0.9,0,0,9681.58317,2550.919064,-0.021980052,0.321026234,44.61643704,54861.22699
19,14/09/2018,0:22:00,Maturation Pond,7,17.6,7.05,49.2,3.45,628,404,0.28,8.1,46.39,6.7,59.5,4.06,19.99,0.01,0.216,1.275,4.22,12.1,0.4,0,0,11931.19504,1184.576612,-0.080671579,0.352082839,50.27696968,60792.16766
20,14/09/2018,2:35:00,Maturation Pond,8,17.4,7.01,32.6,2.29,642,413,0.24,8.3,51.37,10.6,89.5,19.2,18.85,0.008,0.221,2.15,1.95,11.6,0.4,0,0,17020.03834,1659.578709,0.006101061,0.361145107,70.84515958,63789.60331
21,14/09/2018,4:10:00,Maturation Pond,9,16.9,6.87,12,0.086,618,399,0.3,6.2,23.86,12.1,66,18.5,17.71,0.007,0.198,2.075,1.96,10.9,0,0,0,9225.088803,1554.936484,-0.091589365,0.340656482,71.18932906,59953.7614
22,14/09/2018,5:49:00,Maturation Pond,10,16.7,7.56,18.3,1.89,640,401,0.29,7.2,51.78,11.82,49.35,19.05,18.85,0.008,0.227,2.17,2.39,10.7,0.4,0,0,11024.53543,1076.281422,-0.066893552,0.361744167,61.86903491,61840.84298
23,14/09/2018,7:36:00,Maturation Pond,11,17.2,6.87,0,0,619,400,0.28,10.3,85.96,13.3,99,14.5,21.2,0.007,0.206,2.28,1.65,11.6,0,0,84,15989.88052,940.8780339,-0.120626476,0.422533052,90.15699524,58217.48689
24,14/09/2018,9:47:00,Maturation Pond,12,18.4,7.11,72.7,5.63,590,381,0.27,11.3,153.1,8.8,67.5,11.5,21.3,0.006,0.183,1.985,1.73,15,1.3,0,638,12339.03337,2612.410743,-0.131962987,0.247321809,102.0900561,56222.82312
